"Monthly Data low,high,etc",Price Info
2020-08-31.5. volume,9932053101.10000038
2020-08-31.6. market cap (USD),9932053101.10000038
2020-07-31.1a. open (USD),0.08300000
2020-07-31.1b. open (USD),0.08300000
2020-07-31.2a. high (USD),0.15464000
2020-07-31.2b. high (USD),0.15464000
2020-07-31.3a. low (USD),0.08240000
2020-07-31.3b. low (USD),0.08240000
2020-07-31.4a. close (USD),0.13878000
2020-07-31.4b. close (USD),0.13878000
2020-07-31.5. volume,17087022379.29999924
2020-07-31.6. market cap (USD),17087022379.29999924
2020-06-30.1a. open (USD),0.07391000
2020-06-30.1b. open (USD),0.07391000
2020-06-30.2a. high (USD),0.09039000
2020-06-30.2b. high (USD),0.09039000
2020-06-30.3a. low (USD),0.06930000
2020-06-30.3b. low (USD),0.06930000
2020-06-30.4a. close (USD),0.08299000
2020-06-30.4b. close (USD),0.08299000
2020-06-30.5. volume,11304081621.29999924
2020-06-30.6. market cap (USD),11304081621.29999924
2020-05-31.1a. open (USD),0.04751000
2020-05-31.1b. open (USD),0.04751000
2020-05-31.2a. high (USD),0.08650000
2020-05-31.2b. high (USD),0.08650000
2020-05-31.3a. low (USD),0.04250000
2020-05-31.3b. low (USD),0.04250000
2020-05-31.4a. close (USD),0.07390000
2020-05-31.4b. close (USD),0.07390000
2020-05-31.5. volume,12360762001.79999924
2020-05-31.6. market cap (USD),12360762001.79999924
2020-04-30.1a. open (USD),0.03045000
2020-04-30.1b. open (USD),0.03045000
2020-04-30.2a. high (USD),0.05439000
2020-04-30.2b. high (USD),0.05439000
2020-04-30.3a. low (USD),0.02942000
2020-04-30.3b. low (USD),0.02942000
2020-04-30.4a. close (USD),0.04752000
2020-04-30.4b. close (USD),0.04752000
2020-04-30.5. volume,8386682581.89999962
2020-04-30.6. market cap (USD),8386682581.89999962
2020-03-31.1a. open (USD),0.04706000
2020-03-31.1b. open (USD),0.04706000
2020-03-31.2a. high (USD),0.05229000
2020-03-31.2b. high (USD),0.05229000
2020-03-31.3a. low (USD),0.01765000
2020-03-31.3b. low (USD),0.01765000
2020-03-31.4a. close (USD),0.03045000
2020-03-31.4b. close (USD),0.03045000
2020-03-31.5. volume,11791622194.60000038
2020-03-31.6. market cap (USD),11791622194.60000038
2020-02-29.1a. open (USD),0.05390000
2020-02-29.1b. open (USD),0.05390000
2020-02-29.2a. high (USD),0.07231000
2020-02-29.2b. high (USD),0.07231000
2020-02-29.3a. low (USD),0.04620000
2020-02-29.3b. low (USD),0.04620000
2020-02-29.4a. close (USD),0.04710000
2020-02-29.4b. close (USD),0.04710000
2020-02-29.5. volume,9541367906.29999924
2020-02-29.6. market cap (USD),9541367906.29999924
2020-01-31.1a. open (USD),0.03285000
2020-01-31.1b. open (USD),0.03285000
2020-01-31.2a. high (USD),0.05771000
2020-01-31.2b. high (USD),0.05771000
2020-01-31.3a. low (USD),0.03218000
2020-01-31.3b. low (USD),0.03218000
2020-01-31.4a. close (USD),0.05390000
2020-01-31.4b. close (USD),0.05390000
2020-01-31.5. volume,6783477519.30000019
2020-01-31.6. market cap (USD),6783477519.30000019
2019-12-31.1a. open (USD),0.04032000
2019-12-31.1b. open (USD),0.04032000
2019-12-31.2a. high (USD),0.04035000
2019-12-31.2b. high (USD),0.04035000
2019-12-31.3a. low (USD),0.03032000
2019-12-31.3b. low (USD),0.03032000
2019-12-31.4a. close (USD),0.03285000
2019-12-31.4b. close (USD),0.03285000
2019-12-31.5. volume,2897540853.59999990
2019-12-31.6. market cap (USD),2897540853.59999990
2019-11-30.1a. open (USD),0.04125000
2019-11-30.1b. open (USD),0.04125000
2019-11-30.2a. high (USD),0.04624000
2019-11-30.2b. high (USD),0.04624000
2019-11-30.3a. low (USD),0.03150000
2019-11-30.3b. low (USD),0.03150000
2019-11-30.4a. close (USD),0.04032000
2019-11-30.4b. close (USD),0.04032000
2019-11-30.5. volume,4573163911.89999962
2019-11-30.6. market cap (USD),4573163911.89999962
2019-10-31.1a. open (USD),0.03888000
2019-10-31.1b. open (USD),0.03888000
2019-10-31.2a. high (USD),0.04492000
2019-10-31.2b. high (USD),0.04492000
2019-10-31.3a. low (USD),0.03513000
2019-10-31.3b. low (USD),0.03513000
2019-10-31.4a. close (USD),0.04126000
2019-10-31.4b. close (USD),0.04126000
2019-10-31.5. volume,4841448381.50000000
2019-10-31.6. market cap (USD),4841448381.50000000
2019-09-30.1a. open (USD),0.04472000
2019-09-30.1b. open (USD),0.04472000
2019-09-30.2a. high (USD),0.05557000
2019-09-30.2b. high (USD),0.05557000
2019-09-30.3a. low (USD),0.03498000
2019-09-30.3b. low (USD),0.03498000
2019-09-30.4a. close (USD),0.03888000
2019-09-30.4b. close (USD),0.03888000
2019-09-30.5. volume,4410426862.80000019
2019-09-30.6. market cap (USD),4410426862.80000019
2019-08-31.1a. open (USD),0.06006000
2019-08-31.1b. open (USD),0.06006000
2019-08-31.2a. high (USD),0.06035000
2019-08-31.2b. high (USD),0.06035000
2019-08-31.3a. low (USD),0.04312000
2019-08-31.3b. low (USD),0.04312000
2019-08-31.4a. close (USD),0.04473000
2019-08-31.4b. close (USD),0.04473000
2019-08-31.5. volume,2562617127.30000019
2019-08-31.6. market cap (USD),2562617127.30000019
2019-07-31.1a. open (USD),0.08227000
2019-07-31.1b. open (USD),0.08227000
2019-07-31.2a. high (USD),0.08599000
2019-07-31.2b. high (USD),0.08599000
2019-07-31.3a. low (USD),0.04985000
2019-07-31.3b. low (USD),0.04985000
2019-07-31.4a. close (USD),0.06011000
2019-07-31.4b. close (USD),0.06011000
2019-07-31.5. volume,3103759235.09999990
2019-07-31.6. market cap (USD),3103759235.09999990
2019-06-30.1a. open (USD),0.08906000
2019-06-30.1b. open (USD),0.08906000
2019-06-30.2a. high (USD),0.10687000
2019-06-30.2b. high (USD),0.10687000
2019-06-30.3a. low (USD),0.07695000
2019-06-30.3b. low (USD),0.07695000
2019-06-30.4a. close (USD),0.08226000
2019-06-30.4b. close (USD),0.08226000
2019-06-30.5. volume,5601895593.69999981
2019-06-30.6. market cap (USD),5601895593.69999981
2019-05-31.1a. open (USD),0.07016000
2019-05-31.1b. open (USD),0.07016000
2019-05-31.2a. high (USD),0.10080000
2019-05-31.2b. high (USD),0.10080000
2019-05-31.3a. low (USD),0.05910000
2019-05-31.3b. low (USD),0.05910000
2019-05-31.4a. close (USD),0.08914000
2019-05-31.4b. close (USD),0.08914000
2019-05-31.5. volume,5695670950.00000000
2019-05-31.6. market cap (USD),5695670950.00000000
2019-04-30.1a. open (USD),0.06984000
2019-04-30.1b. open (USD),0.06984000
2019-04-30.2a. high (USD),0.09976000
2019-04-30.2b. high (USD),0.09976000
2019-04-30.3a. low (USD),0.06401000
2019-04-30.3b. low (USD),0.06401000
2019-04-30.4a. close (USD),0.07010000
2019-04-30.4b. close (USD),0.07010000
2019-04-30.5. volume,5974402391.89999962
2019-04-30.6. market cap (USD),5974402391.89999962
2019-03-31.1a. open (USD),0.04288000
2019-03-31.1b. open (USD),0.04288000
2019-03-31.2a. high (USD),0.07338000
2019-03-31.2b. high (USD),0.07338000
2019-03-31.3a. low (USD),0.03908000
2019-03-31.3b. low (USD),0.03908000
2019-03-31.4a. close (USD),0.06989000
2019-03-31.4b. close (USD),0.06989000
2019-03-31.5. volume,6126208133.39999962
2019-03-31.6. market cap (USD),6126208133.39999962
2019-02-28.1a. open (USD),0.03825000
2019-02-28.1b. open (USD),0.03825000
2019-02-28.2a. high (USD),0.05053000
2019-02-28.2b. high (USD),0.05053000
2019-02-28.3a. low (USD),0.03588000
2019-02-28.3b. low (USD),0.03588000
2019-02-28.4a. close (USD),0.04287000
2019-02-28.4b. close (USD),0.04287000
2019-02-28.5. volume,3137888160.69999981
2019-02-28.6. market cap (USD),3137888160.69999981
